time,battery_percent,current_window,num_chrome_tabs,active_chrome_tab_url
2026-03-23T03:32:00-0400,96%,Google Chrome,27,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-splunk-vcs/pull/51
2026-03-23T05:43:56-0400,96%,Google Chrome,27,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-splunk-vcs/pull/51
2026-03-23T05:44:00-0400,96%,Google Chrome,27,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-splunk-vcs/pull/51
2026-03-23T07:46:00-0400,96%,Google Chrome,27,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-splunk-vcs/pull/51
2026-03-23T08:51:16-0400,95%,Google Chrome,27,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-splunk-vcs/pull/51
2026-03-23T08:52:00-0400,95%,Google Chrome,27,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-splunk-vcs/pull/51
2026-03-23T08:54:00-0400,95%,Slack,27,https://pygithub.readthedocs.io/en/stable/apis.html
2026-03-23T08:56:00-0400,95%,Slack,30,https://pygithub.readthedocs.io/en/stable/apis.html
2026-03-23T08:58:01-0400,94%,Google Chrome,35,https://www.google.com/search?q=windows+list+largest+files&oq=windows+list+largest+files&gs_lcrp=EgZjaHJvbWUqBwgAEAAYgAQyBwgAEAAYgAQyCAgBEAAYFhgeMggIAhAAGBYYHjIICAMQABgWGB4yCAgEEAAYFhgeMggIBRAAGBYYHjIICAYQABgWGB4yCAgHEAAYFhgeMggICBAAGBYYHjINCAkQABiGAxiABBiKBdIBCDUxMzNqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8
2026-03-23T09:00:00-0400,94%,Windows App,36,https://pygithub.readthedocs.io/en/stable/apis.html
2026-03-23T09:02:00-0400,94%,Slack,34,https://pygithub.readthedocs.io/en/stable/apis.html
2026-03-23T09:04:00-0400,93%,Slack,34,https://pygithub.readthedocs.io/en/stable/apis.html
2026-03-23T09:06:00-0400,93%,Windows App,37,https://pygithub.readthedocs.io/en/stable/apis.html
2026-03-23T09:08:00-0400,93%,Slack,40,https://pygithub.readthedocs.io/en/stable/apis.html
2026-03-23T09:10:01-0400,92%,Slack,38,https://pygithub.readthedocs.io/en/stable/apis.html
2026-03-23T09:12:00-0400,92%,Slack,38,https://pygithub.readthedocs.io/en/stable/apis.html
2026-03-23T09:14:00-0400,92%,Google Chrome,19,chrome://newtab/
2026-03-23T09:16:00-0400,91%,Google Chrome,21,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-automations/actions/runs/120662/workflow
2026-03-23T09:18:00-0400,91%,Google Chrome,23,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-automations/actions/runs/108993/job/110200
2026-03-23T09:20:00-0400,91%,Google Chrome,24,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-teamcity-sandbox/actions/workflows/runner_as_input.yaml
2026-03-23T09:22:00-0400,90%,Google Chrome,25,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-teamcity-sandbox/actions/runs/120667/job/122778
2026-03-23T09:24:00-0400,90%,Google Chrome,28,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-automations/actions/runs/120665/job/122776
2026-03-23T09:26:00-0400,90%,Google Chrome,30,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-automations/settings/secrets/actions
