time,battery_percent,current_window,num_chrome_tabs,active_chrome_tab_url
2026-03-20T04:58:00-0400,100%,Google Chrome,14,chrome://newtab/
2026-03-20T08:00:00-0400,100%,Google Chrome,14,chrome://newtab/
2026-03-20T08:44:00-0400,100%,Google Chrome,14,chrome://newtab/
2026-03-20T08:47:17-0400,100%,Google Chrome,14,chrome://newtab/
2026-03-20T09:09:12-0400,100%,Google Chrome,14,chrome://newtab/
2026-03-20T09:12:02-0400,100%,Google Chrome,14,chrome://newtab/
2026-03-20T09:16:42-0400,100%,Google Chrome,14,https://help.splunk.com/en/splunk-enterprise/spl-search-reference/9.4/search-commands/spath
2026-03-20T09:18:00-0400,100%,Google Chrome,16,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-splunk-vcs/pull/51
2026-03-20T09:20:01-0400,100%,Google Chrome,17,https://www.google.com/search?q=whitenoise+compression+python&sca_esv=f51b41fcffe4748f&ei=Tkm9aZypCcKIptQPsaXuiAg&biw=1920&bih=929&ved=0ahUKEwiciLO-yK6TAxVChIkEHbGSG4EQ4dUDCBM&uact=5&oq=whitenoise+compression+python&gs_lp=Egxnd3Mtd2l6LXNlcnAiHXdoaXRlbm9pc2UgY29tcHJlc3Npb24gcHl0aG9uMgoQIRgKGKABGMMESKUMUKIEWOcLcAF4AZABAJgBngGgAcUIqgEDNy41uAEDyAEA-AEBmAIGoALsAsICChAAGEcY1gQYsAPCAgcQABiABBgNwgIGEAAYHhgNwgIIEAAYBRgeGA3CAggQABgIGB4YDZgDAIgGAZAGCJIHATagB6wysgcBNbgH6ALCBwUwLjQuMsgHDoAIAQ&sclient=gws-wiz-serp
2026-03-20T09:22:00-0400,100%,Slack,17,https://whitenoise.readthedocs.io/en/latest/
2026-03-20T09:24:00-0400,100%,Google Chrome,17,https://mbta.sharepoint.com/:x:/r/sites/ReConEngDev/_layouts/15/doc2.aspx?sourcedoc=%7B91593B0E-0439-4939-A89A-BFC2E4011C3C%7D&file=ReConEng%20Dev%20Team%20Standup.xlsx&action=default&mobileredirect=true
2026-03-20T09:26:01-0400,100%,Code,17,https://app.asana.com/1/15492006741476/project/1209320181276845/list/1209320519001389
2026-03-20T09:28:00-0400,100%,Microsoft Outlook,15,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/mbta-asana-client/pull/7
2026-03-20T09:30:00-0400,100%,Code,17,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-splunk-vcs/pull/51
2026-03-20T09:32:00-0400,100%,Terminal,18,https://stackoverflow.com/questions/8967843/how-do-i-create-a-bash-alias
2026-03-20T09:34:00-0400,100%,Google Chrome,19,chrome://newtab/
2026-03-20T09:36:00-0400,100%,Code,18,https://www.google.com/search?q=if+text+match+bash&oq=if+text+match+bash&gs_lcrp=EgZjaHJvbWUyCQgAEEUYORigATIHCAEQIRigATIHCAIQIRigATIHCAMQIRirAjIHCAQQIRiPAjIHCAUQIRiPAtIBCDI5MjNqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8
2026-03-20T09:38:00-0400,100%,Terminal,17,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-splunk-vcs/pull/51
2026-03-20T09:40:01-0400,100%,Code,17,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-splunk-vcs/pull/51
2026-03-20T09:42:00-0400,100%,Code,17,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-splunk-vcs/pull/51
2026-03-20T09:44:00-0400,100%,Code,17,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-splunk-vcs/pull/51
2026-03-20T09:46:01-0400,100%,Code,17,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-splunk-vcs/pull/51
2026-03-20T09:48:00-0400,100%,Code,17,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-splunk-vcs/pull/51
2026-03-20T09:50:00-0400,100%,Code,17,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-splunk-vcs/pull/51
2026-03-20T09:52:01-0400,100%,Google Chrome,18,https://app.asana.com/1/15492006741476/project/1209320181276845/task/1213104707339025
2026-03-20T09:54:00-0400,100%,Google Chrome,17,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/hsgithub-actions-runner-monitor/pull/8
2026-03-20T09:56:00-0400,100%,Code,17,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/mbta-asana-client/pull/9
2026-03-20T09:58:00-0400,100%,Google Chrome,18,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-automations/pull/180/files
2026-03-20T10:00:00-0400,100%,Microsoft Teams,15,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-automations/pull/174
2026-03-20T10:02:00-0400,100%,Google Chrome,15,https://mbta.sharepoint.com/:x:/r/sites/ReConEngDev/_layouts/15/Doc.aspx?sourcedoc=%7B91593B0E-0439-4939-A89A-BFC2E4011C3C%7D&file=ReConEng%20Dev%20Team%20Standup.xlsx&action=default&mobileredirect=true
2026-03-20T10:04:00-0400,100%,Google Chrome,15,https://mbta.sharepoint.com/:x:/r/sites/ReConEngDev/_layouts/15/Doc.aspx?sourcedoc=%7B91593B0E-0439-4939-A89A-BFC2E4011C3C%7D&file=ReConEng%20Dev%20Team%20Standup.xlsx&action=default&mobileredirect=true
2026-03-20T10:06:01-0400,100%,Google Chrome,15,https://mbta.sharepoint.com/:x:/r/sites/ReConEngDev/_layouts/15/Doc.aspx?sourcedoc=%7B91593B0E-0439-4939-A89A-BFC2E4011C3C%7D&file=ReConEng%20Dev%20Team%20Standup.xlsx&action=default&mobileredirect=true
2026-03-20T10:08:00-0400,100%,Google Chrome,16,https://mbta.sharepoint.com/:x:/r/sites/ReConEngDev/_layouts/15/Doc.aspx?sourcedoc=%7B91593B0E-0439-4939-A89A-BFC2E4011C3C%7D&file=ReConEng%20Dev%20Team%20Standup.xlsx&action=default&mobileredirect=true
2026-03-20T10:10:00-0400,100%,Microsoft Teams,16,https://mbta.sharepoint.com/:x:/r/sites/ReConEngDev/_layouts/15/Doc.aspx?sourcedoc=%7B91593B0E-0439-4939-A89A-BFC2E4011C3C%7D&file=ReConEng%20Dev%20Team%20Standup.xlsx&action=default&mobileredirect=true
2026-03-20T10:12:00-0400,100%,Microsoft Teams,17,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-web-applications/pull/66/files
2026-03-20T10:14:00-0400,100%,Microsoft Teams,17,https://www.google.com/search?q=remoting+into+tablet&oq=remoting+into+tablet&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIICAEQABgWGB4yCAgCEAAYFhgeMggIAxAAGBYYHjIICAQQABgWGB4yCAgFEAAYFhgeMggIBhAAGBYYHjINCAcQABiGAxiABBiKBTINCAgQABiGAxiABBiKBTINCAkQABiGAxiABBiKBdIBCDE5ODZqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8
2026-03-20T10:16:00-0400,100%,Microsoft Teams,17,https://www.google.com/search?q=remoting+into+tablet&oq=remoting+into+tablet&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIICAEQABgWGB4yCAgCEAAYFhgeMggIAxAAGBYYHjIICAQQABgWGB4yCAgFEAAYFhgeMggIBhAAGBYYHjINCAcQABiGAxiABBiKBTINCAgQABiGAxiABBiKBTINCAkQABiGAxiABBiKBdIBCDE5ODZqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8
2026-03-20T10:18:00-0400,100%,Microsoft Teams,17,https://eamtst22.mbta.com/eamtest22/Tools/GetResource.aspx?r=fafile:///82e6ff32-0770-4111-a14d-704987cd8495.png
2026-03-20T10:20:00-0400,100%,Microsoft Teams,17,https://eamtst22.mbta.com/eamtest22/Tools/GetResource.aspx?r=fafile:///82e6ff32-0770-4111-a14d-704987cd8495.png
2026-03-20T10:22:00-0400,100%,Microsoft Teams,17,https://eamtst22.mbta.com/eamtest22/Tools/GetResource.aspx?r=fafile:///82e6ff32-0770-4111-a14d-704987cd8495.png
2026-03-20T10:24:00-0400,100%,Microsoft Teams,17,https://eamtst22.mbta.com/eamtest22/Tools/GetResource.aspx?r=fafile:///82e6ff32-0770-4111-a14d-704987cd8495.png
2026-03-20T10:26:01-0400,100%,Microsoft Teams,17,https://eamtst22.mbta.com/eamtest22/Tools/GetResource.aspx?r=fafile:///82e6ff32-0770-4111-a14d-704987cd8495.png
2026-03-20T10:28:00-0400,100%,Microsoft Teams,17,https://eamtst22.mbta.com/eamtest22/Tools/GetResource.aspx?r=fafile:///82e6ff32-0770-4111-a14d-704987cd8495.png
2026-03-20T10:30:53-0400,100%,Slack,17,https://eamtst22.mbta.com/eamtest22/Tools/GetResource.aspx?r=fafile:///82e6ff32-0770-4111-a14d-704987cd8495.png
2026-03-20T10:32:00-0400,100%,Slack,16,https://mbta.sharepoint.com/:x:/r/sites/ReConEngDev/_layouts/15/Doc.aspx?sourcedoc=%7B91593B0E-0439-4939-A89A-BFC2E4011C3C%7D&file=ReConEng%20Dev%20Team%20Standup.xlsx&action=default&mobileredirect=true
2026-03-20T10:34:00-0400,100%,Google Chrome,15,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-automations/pulls
2026-03-20T10:36:00-0400,100%,Code,15,chrome://newtab/
2026-03-20T10:38:00-0400,100%,Google Chrome,14,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-automations/pull/180/files
2026-03-20T10:40:00-0400,100%,Google Chrome,14,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-automations/pull/180/files
2026-03-20T10:42:00-0400,100%,Code,14,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-automations/pull/180/files
2026-03-20T10:44:01-0400,100%,Code,14,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-automations/pull/180/files
2026-03-20T10:46:00-0400,100%,Code,14,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-automations/pull/180/files
2026-03-20T10:48:00-0400,100%,Code,14,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-automations/pull/180/files
2026-03-20T10:50:00-0400,100%,Code,14,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-automations/pull/180/files#diff-4014bdc75a36f895f0fe32fe90ce7e4c894158461f388f335da6ae6948082a41R64-R67
2026-03-20T10:52:00-0400,100%,Slack,14,https://**REDACTED_GITHUB_LINK**.com/oce-assetmanagement/recon-automations/pull/180/files#
2026-03-20T10:54:00-0400,100%,Windows App,15,https://www.google.com/search?q=get+git+config+file&oq=get+git+config+file&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQABiABDIICAIQABgWGB4yCAgDEAAYFhgeMggIBBAAGBYYHjIICAUQABgWGB4yCAgGEAAYFhgeMggIBxAAGBYYHjIICAgQABgWGB4yCAgJEAAYFhge0gEIMzU1MWowajeoAgCwAgA&sourceid=chrome&ie=UTF-8
2026-03-20T10:56:00-0400,100%,Windows App,15,https://www.google.com/search?q=get+git+config+file&oq=get+git+config+file&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQABiABDIICAIQABgWGB4yCAgDEAAYFhgeMggIBBAAGBYYHjIICAUQABgWGB4yCAgGEAAYFhgeMggIBxAAGBYYHjIICAgQABgWGB4yCAgJEAAYFhge0gEIMzU1MWowajeoAgCwAgA&sourceid=chrome&ie=UTF-8
2026-03-20T10:58:01-0400,100%,Windows App,15,https://www.google.com/search?q=get+git+config+file&oq=get+git+config+file&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQABiABDIICAIQABgWGB4yCAgDEAAYFhgeMggIBBAAGBYYHjIICAUQABgWGB4yCAgGEAAYFhgeMggIBxAAGBYYHjIICAgQABgWGB4yCAgJEAAYFhge0gEIMzU1MWowajeoAgCwAgA&sourceid=chrome&ie=UTF-8
2026-03-20T11:00:00-0400,100%,Windows App,15,https://www.google.com/search?q=get+git+config+file&oq=get+git+config+file&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQABiABDIICAIQABgWGB4yCAgDEAAYFhgeMggIBBAAGBYYHjIICAUQABgWGB4yCAgGEAAYFhgeMggIBxAAGBYYHjIICAgQABgWGB4yCAgJEAAYFhge0gEIMzU1MWowajeoAgCwAgA&sourceid=chrome&ie=UTF-8
2026-03-20T11:02:00-0400,100%,Windows App,16,https://www.google.com/search?q=git+config+list+all&oq=git+config+list+all&gs_lcrp=EgZjaHJvbWUqBwgAEAAYgAQyBwgAEAAYgAQyBwgBEAAYgAQyBwgCEAAYgAQyBwgDEAAYgAQyBwgEEAAYgAQyBwgFEAAYgAQyBwgGEAAYgAQyBwgHEAAYgAQyBwgIEAAYgAQyBwgJEAAYgATSAQgxOTQyajBqN6gCALACAA&sourceid=chrome&ie=UTF-8
2026-03-20T11:04:00-0400,100%,Windows App,17,chrome://newtab/
2026-03-20T11:06:00-0400,100%,Windows App,17,chrome://newtab/
2026-03-20T11:08:00-0400,100%,Windows App,17,chrome://newtab/
2026-03-20T11:10:00-0400,100%,Windows App,17,chrome://newtab/
2026-03-20T11:12:00-0400,100%,Slack,17,chrome://newtab/
2026-03-20T11:14:00-0400,100%,Windows App,17,chrome://newtab/
2026-03-20T11:16:00-0400,100%,Windows App,17,https://www.google.com/search?q=git++config+does+system+take+precedence&sca_esv=46e17ce658870a9b&ei=QWS9aYzDHf-nptQP4tGb4QI&biw=1920&bih=929&ved=0ahUKEwjM56CY4q6TAxX_k4kEHeLoJiwQ4dUDCBM&uact=5&oq=git++config+does+system+take+precedence&gs_lp=Egxnd3Mtd2l6LXNlcnAiJ2dpdCAgY29uZmlnIGRvZXMgc3lzdGVtIHRha2UgcHJlY2VkZW5jZTIIEAAYgAQYogQyBRAAGO8FMgUQABjvBTIFEAAY7wUyCBAAGIAEGKIESNUMUIcDWNcJcAB4ApABAJgBkAGgAdEFqgEDNS4zuAEDyAEA-AEBmAIHoAL1A8ICBBAAGEfCAggQABiJBRiiBMICChAhGAoYoAEYwwSYAwDiAwUSATEgQIgGAZAGCJIHAzYuMaAH6hiyBwM1LjG4B_MDwgcDMC43yAcNgAgB&sclient=gws-wiz-serp
2026-03-20T11:18:00-0400,100%,Windows App,17,https://www.google.com/search?q=git++config+does+system+take+precedence&sca_esv=46e17ce658870a9b&ei=QWS9aYzDHf-nptQP4tGb4QI&biw=1920&bih=929&ved=0ahUKEwjM56CY4q6TAxX_k4kEHeLoJiwQ4dUDCBM&uact=5&oq=git++config+does+system+take+precedence&gs_lp=Egxnd3Mtd2l6LXNlcnAiJ2dpdCAgY29uZmlnIGRvZXMgc3lzdGVtIHRha2UgcHJlY2VkZW5jZTIIEAAYgAQYogQyBRAAGO8FMgUQABjvBTIFEAAY7wUyCBAAGIAEGKIESNUMUIcDWNcJcAB4ApABAJgBkAGgAdEFqgEDNS4zuAEDyAEA-AEBmAIHoAL1A8ICBBAAGEfCAggQABiJBRiiBMICChAhGAoYoAEYwwSYAwDiAwUSATEgQIgGAZAGCJIHAzYuMaAH6hiyBwM1LjG4B_MDwgcDMC43yAcNgAgB&sclient=gws-wiz-serp
